followers_count,following_count,tweet_count,listed_count,account_age_days,has_profile_pic,has_bio,bio_length,has_url_in_bio,name_has_numbers,avg_daily_tweets,follower_following_ratio,is_verified,default_theme,geo_enabled,is_bot
230,3890,2144,2,38,1,1,52,0,1,28.45,0.2739,0,1,0,1
54,760,7202,146,2983,1,1,112,0,0,2.72,2.27,1,0,1,0
72,5744,25846,2,349,1,0,22,1,0,111.47,0.1228,0,1,0,1
2676,56,2316,112,860,1,1,110,0,0,1.3,2.42,0,1,1,0
14,1072,49359,4,221,1,1,10,1,1,45.39,0.0486,0,1,0,1
482,3406,18071,7,14,1,0,28,1,1,80.94,0.0705,0,0,0,1
2166,1806,4683,102,775,1,1,156,0,0,9.34,1.57,0,0,0,0
16,1710,49263,8,162,0,1,27,0,1,43.99,0.1694,0,1,0,1
2031,163,2093,131,3543,1,1,30,0,0,8.42,2.04,1,0,1,0
162,5876,11621,6,73,1,0,23,1,1,28.87,0.1029,0,1,0,1
3123,818,7162,180,3621,1,1,129,1,0,0.64,2.48,0,0,1,0
111,2225,37114,9,359,1,1,8,0,1,143.64,0.1054,0,1,0,1
464,3740,13920,7,128,1,1,2,0,1,144.58,0.1827,0,1,0,1
2833,1113,3367,112,1972,1,1,61,1,1,9.12,2.17,0,0,1,0
1714,1296,7385,11,1262,1,1,75,0,0,8.6,2.07,0,0,1,0
4804,1621,5669,185,2196,1,1,31,0,0,6.08,4.28,0,1,0,0
2175,1038,3816,163,1932,1,1,77,0,0,8.62,1.57,0,0,1,0
3110,379,2389,46,1768,1,1,135,1,0,9.66,1.82,0,1,1,0
167,3109,38554,3,155,1,0,38,1,1,182.88,0.0983,0,1,0,1
145,3644,13454,0,252,1,0,3,1,1,155.41,0.1154,0,1,0,1
1379,327,2819,112,1529,1,1,128,0,0,6.26,4.15,0,0,0,0
65,1082,46643,8,288,1,0,49,0,1,45.31,0.236,0,0,1,1
406,2463,46913,7,231,1,1,12,1,1,160.03,0.0289,0,0,0,1
66,3239,33228,5,276,0,1,12,1,1,84.71,0.1474,0,0,0,1
66,5175,3205,8,290,0,0,1,1,1,113.69,0.271,0,0,0,1
3695,810,719,146,1326,1,1,75,0,1,7.55,1.35,0,0,1,0
83,527,47258,5,191,1,0,59,1,1,59.13,0.2047,0,0,0,1
3106,1405,1356,117,1000,1,1,30,0,1,1.26,0.58,0,0,1,0
1655,427,693,100,548,1,1,63,0,0,2.95,1.24,0,0,0,0
4708,525,6047,4,2670,1,1,131,0,0,3.79,3.76,0,1,1,0
454,584,5756,131,1602,1,1,47,1,0,4.84,0.39,0,0,1,0
4857,1885,2937,124,1337,1,1,142,0,0,5.87,1.48,0,0,0,0
1300,1249,440,7,3268,1,1,112,1,0,7.8,2.87,1,0,1,0
2085,1157,477,76,3333,1,0,82,0,0,5.38,0.88,0,1,1,0
60,3311,8838,7,27,0,1,8,1,1,149.11,0.2067,0,1,0,1
666,438,3451,162,2680,1,1,37,0,0,3.63,1.91,0,1,0,0
217,1894,24266,2,48,0,0,13,1,1,157.92,0.2441,0,0,0,1
323,1313,26271,5,340,1,1,12,1,1,123.47,0.2492,0,1,0,1
436,3382,4574,0,159,1,0,51,1,1,125.16,0.2659,0,0,0,1
1268,1852,4500,114,1699,1,1,39,1,0,0.71,3.28,1,0,0,0
3207,784,1135,145,1770,1,1,112,0,0,4.05,1.56,0,0,0,0
254,2348,8188,8,13,1,0,3,0,1,83.85,0.0992,0,1,0,1
4961,843,6848,164,1756,1,1,61,0,0,1.31,2.43,0,0,1,0
2881,1374,7733,175,3309,1,1,154,1,0,7.53,1.54,0,1,0,0
293,773,44558,5,292,1,1,35,1,1,56.23,0.282,0,0,1,1
4704,323,814,22,2943,1,1,76,1,1,5.36,4.98,0,1,1,0
4896,802,7531,76,798,1,1,118,1,0,9.58,2.51,0,0,1,0
2240,1432,1346,58,2565,1,1,70,0,0,1.21,4.21,0,0,1,0
